Acadorgs,Morrison Hall,Physical Sciences Building,Rockefeller Hall,Olin Hall,Baker Laboratory,White Hall,Weill Hall,Riley-Robb Hall,Plant Science Building,Warren Hall,Statler Hall Auditorium,Thurston Hall,Stocking Hall West,Ives Hall,Willard Straight Hall,Martha Van Rensselaer Hall,Morrill Hall,Frank H T Rhodes Hall,Stocking Hall,Clark Hall,McGraw Hall,Uris Hall,Biological Sciences,Upson Hall,Emerson Hall,Savage Hall,Mann Library,Snee Hall,Malott Hall,Hollister Hall,Balch Hall,Bill and Melinda Gates Hall,Martha Van Rensselaer Hall Wst,Goldwin Smith Hall,King-Shaw Hall,Mann Library Addition,Kennedy Hall,Milstein Hall,Phillips Hall,Biotechnology,Klarman Hall,Uris Library,Anabel Taylor Hall,Sibley Hall,Schwartz Ctr Performing Arts,Bailey Hall
ILR,0.60039176,0.19116326399999997,0.131025557,0.213575588,0.211481079,0.31049088399999997,0.17983664800000002,0.50947105,0.217869392,0.24239711600000002,0.130300411,0.266627391,0.500178239,0.0,0.238418358,0.22646651,0.239877318,0.263627842,0.500178239,0.179907645,0.271265596,0.061246330999999994,0.137977582,0.234202685,0.278074317,0.178915405,0.264176053,0.31019831,0.080319785,0.28443209,0.406620265,0.152510271,0.22646651,0.18316953,0.050404198,0.264176053,0.10678626699999999,0.30684576399999997,0.19360100600000002,0.143775702,0.16640356,0.228371205,0.28360281600000004,0.300876567,0.41566295700000006,0.145761625
MSE,0.7684370009999999,0.429926345,0.37019373200000005,0.10574077,0.44998893799999995,0.448401182,0.391308224,0.666405138,0.46932632,0.508340303,0.147146005,0.015312351,0.692036652,0.27485421600000004,0.20382678899999998,0.501189325,0.331788925,0.137140115,0.692036652,0.434100569,0.38707321299999997,0.246047976,0.37408995700000003,0.076873678,0.52157505,0.44783893700000005,0.518958495,0.043112712000000004,0.35507074899999996,0.026441376000000003,0.666586159,0.18018241399999999,0.501189325,0.360574674,0.287542255,0.518958495,0.376745709,0.505334555,0.110195455,0.334061397,0.363273786,0.279056445,0.10702038800000001,0.48419868899999996,0.142018783,0.41714280200000003
AEM,0.445775939,0.24471001399999998,0.240272682,0.455960016,0.249644996,0.430381671,0.160389594,0.382075337,0.062459525,0.0,0.361410945,0.497855046,0.331378218,0.24239711600000002,0.469620376,0.09864061699999999,0.42055775700000003,0.457279776,0.331378218,0.208322439,0.42383196100000003,0.29476905600000003,0.14498858,0.453127248,0.086394234,0.156967475,0.049320645,0.546964708,0.172674217,0.5215476960000001,0.294431679,0.34648773899999996,0.09864061699999999,0.326710069,0.220798219,0.049320645,0.135632284,0.35942261299999995,0.410154452,0.204718924,0.30119777,0.434538424,0.525990713,0.376107026,0.650348799,0.153110897
CHEM,0.692657608,0.020750241000000003,0.083000881,0.357540736,5.91e-05,0.183860158,0.316642384,0.6207287029999999,0.278001006,0.249644996,0.325447156,0.446414551,0.579425587,0.211481079,0.31562031399999996,0.158815948,0.21013241,0.470781182,0.579425587,0.045185925999999994,0.19188288899999997,0.208504038,0.26859530800000003,0.43032353799999995,0.33056326199999997,0.093400447,0.296935164,0.4749464,0.160638528,0.450435326,0.22134530100000002,0.363273666,0.158815948,0.11539707199999999,0.244186638,0.296935164,0.193333557,0.11499211,0.39438629,0.314952148,0.097670966,0.247617952,0.41473012,0.12697588699999998,0.578668024,0.110958561
ORIE,0.649347479,0.45005138100000003,0.38787509600000003,0.206356615,0.470781182,0.519087526,0.313415518,0.546440165,0.406571909,0.457279776,0.14958123199999998,0.122383491,0.583195541,0.263627842,0.308129547,0.476851087,0.41107843299999997,5.91e-05,0.583195541,0.442936084,0.46250267,0.265988881,0.31273237600000003,0.069818437,0.448661875,0.440777176,0.455260392,0.174777483,0.33760570700000003,0.163580396,0.669651669,0.114826985,0.476851087,0.408563921,0.251014373,0.455260392,0.34230062899999997,0.551066485,0.082016299,0.257882395,0.4026229,0.36647220700000005,0.23815935300000002,0.536746951,0.239877827,0.406620917
NTRES,0.329738853,0.35734113700000003,0.34445952399999996,0.51803516,0.363907155,0.541857575,0.160525754,0.26825724,0.097217914,0.116107982,0.409728593,0.538095067,0.215660605,0.31235446699999997,0.550174764,0.214488266,0.520766638,0.472226126,0.215660605,0.321168145,0.530214135,0.371754714,0.180174382,0.485048156,0.03572632,0.27056383100000003,0.067204188,0.592274472,0.260659602,0.5681552879999999,0.39540675399999997,0.374085985,0.214488266,0.43143895299999996,0.275475602,0.067204188,0.21536049399999999,0.475077607,0.44361095799999994,0.217954377,0.406091579,0.5273255579999999,0.588051926,0.490799655,0.6899899290000001,0.26111678
AEP,0.6490819170000001,0.036388911,0.065864792,0.34783350700000004,0.045185925999999994,0.22216425899999998,0.27201707199999997,0.5760652470000001,0.233560945,0.208322439,0.301767203,0.42912131600000003,0.536320904,0.179907645,0.318963633,0.12326604099999999,0.229863701,0.442936084,0.536320904,0.0,0.22119466399999999,0.18839469399999997,0.224327086,0.40748476200000006,0.287306749,0.051503045,0.25455428399999996,0.46225486,0.11982174,0.43709435799999996,0.232582192,0.33235640000000005,0.12326604099999999,0.131710245,0.20697672600000003,0.25455428399999996,0.14921683800000002,0.160175025,0.369453904,0.272569226,0.10838530099999999,0.259421209,0.409410166,0.170970415,0.567449369,0.06578018299999999
BIOAP,5.91e-05,0.684844668,0.664749616,0.7732093590000001,0.692657608,0.86703425,0.420573055,0.102957294,0.41663270799999996,0.445775939,0.655646735,0.753493722,0.11523501,0.60039176,0.832197808,0.543746347,0.831965695,0.649347479,0.11523501,0.6490819170000001,0.849227596,0.661338906,0.464528602,0.692258761,0.36215483,0.5992802079999999,0.396914792,0.8113082540000001,0.571631811,0.791954776,0.704618787,0.5938057870000001,0.543746347,0.750172605,0.552782153,0.396914792,0.525351695,0.804689008,0.660056978,0.46450902299999997,0.725548502,0.828247286,0.837566886,0.8196293929999999,0.889184289,0.586574111
CLASS,0.750172605,0.102905593,0.08703831699999999,0.260009079,0.11539707199999999,0.12764099,0.341951121,0.667979883,0.33632605200000004,0.326710069,0.259052081,0.359815296,0.6413734179999999,0.18316953,0.203441265,0.25276159800000003,0.098161048,0.408563921,0.6413734179999999,0.131710245,0.09916545800000001,0.147217252,0.293148192,0.356426979,0.395958796,0.17841877,0.368053023,0.379351636,0.17955948600000002,0.356426979,0.33223078,0.31529557199999997,0.25276159800000003,0.0,0.230797544,0.368053023,0.22524029399999998,0.145341165,0.327251213,0.320358486,0.025518544,0.132244592,0.30964477,0.128211831,0.479337765,0.173663622
STSCI,0.571631811,0.143158578,0.098641713,0.288893183,0.160638528,0.30254079100000003,0.164544722,0.488423923,0.163467166,0.172674217,0.210428692,0.346944104,0.46452207799999995,0.080319785,0.296996439,0.146155192,0.261758115,0.33760570700000003,0.46452207799999995,0.11982174,0.278070279,0.12330335099999999,0.115233709,0.313325144,0.224991561,0.10387655400000001,0.20332671,0.38987345,5.91e-05,0.36408658,0.332982729,0.223444132,0.146155192,0.17955948600000002,0.090062365,0.20332671,0.046451944,0.270495555,0.271909837,0.154727359,0.155874677,0.266835512,0.35785575399999997,0.272936695,0.495557945,0.06935543200000001
