,Morrison Hall,Physical Sciences Building,Rockefeller Hall,Olin Hall,Baker Laboratory,White Hall,Weill Hall,Riley-Robb Hall,Plant Science Building,Warren Hall,Statler Hall Auditorium,Thurston Hall,Stocking Hall West,Ives Hall,Willard Straight Hall,Martha Van Rensselaer Hall,Morrill Hall,Frank H T Rhodes Hall,Stocking Hall,Clark Hall,McGraw Hall,Uris Hall,Biological Sciences,Upson Hall,Emerson Hall,Savage Hall,Mann Library,Snee Hall,Malott Hall,Hollister Hall,Balch Hall,Bill and Melinda Gates Hall,Martha Van Rensselaer Hall Wst,Goldwin Smith Hall,King-Shaw Hall,Mann Library Addition,Kennedy Hall,Milstein Hall,Phillips Hall,Biotechnology,Klarman Hall,Uris Library,Anabel Taylor Hall,Sibley Hall,Schwartz Ctr Performing Arts,Bailey Hall
Morrison Hall,0.0,0.684844668,0.664749616,0.7732093590000001,0.692657608,0.86703425,0.420573055,0.102957294,0.41663270799999996,0.445775939,0.655646735,0.753493722,0.11523501,0.60039176,0.832197808,0.543746347,0.831965695,0.649347479,0.11523501,0.6490819170000001,0.849227596,0.661338906,0.464528602,0.692258761,0.36215483,0.5992802079999999,0.396914792,0.8113082540000001,0.571631811,0.791954776,0.704618787,0.5938057870000001,0.568275008,0.750172605,0.552782153,0.396914792,0.525351695,0.804689008,0.660056978,0.46450902299999997,0.725548502,0.828247286,0.837566886,0.8196293929999999,0.889184289,0.586574111
Physical Sciences Building,0.684844668,0.0,0.062250667999999995,0.338360372,0.020750241000000003,0.185801875,0.302027522,0.610824027,0.268815008,0.24471001399999998,0.304721481,0.426183715,0.572323812,0.19116326399999997,0.299521642,0.15836382400000001,0.19998397,0.45005138100000003,0.572323812,0.036388911,0.186958277,0.187864508,0.2534754,0.409648579,0.32332063,0.08785787800000001,0.29083117399999997,0.455353336,0.143158578,0.430726922,0.239711704,0.34274167,0.139351516,0.102905593,0.224911413,0.29083117399999997,0.17827088600000002,0.12854679,0.37364341,0.29785526,0.08253896299999999,0.234214068,0.396507625,0.136245528,0.559372626,0.099357562
Rockefeller Hall,0.664749616,0.062250667999999995,0.0,0.28215544,0.083000881,0.204554483,0.26317705399999997,0.584532697,0.24971828100000001,0.240272682,0.24256963,0.365840467,0.555142354,0.131025557,0.25528644699999997,0.172672359,0.180760411,0.38787509600000003,0.555142354,0.065864792,0.18580449300000002,0.126164004,0.21385897899999998,0.34767754700000003,0.309023576,0.099357808,0.281045316,0.39727983200000005,0.098641713,0.372281682,0.29670263,0.281337906,0.160865443,0.08703831699999999,0.169192492,0.281045316,0.141969394,0.177748143,0.311420632,0.249906624,0.061633883,0.201613127,0.34356486799999997,0.176209036,0.502183001,0.087858851
Olin Hall,0.7732093590000001,0.338360372,0.28215544,0.0,0.357540736,0.34274162,0.367136975,0.674294508,0.427647679,0.455960016,0.11759566199999999,0.10973063300000001,0.68512631,0.213575588,0.10315234300000001,0.431120934,0.226051974,0.206356615,0.68512631,0.34783350700000004,0.281337851,0.167656921,0.33793947399999996,0.1370455,0.485510283,0.36962591,0.475620726,0.119343874,0.288893183,0.096968794,0.577815457,0.185816082,0.428249517,0.260009079,0.242757515,0.475620726,0.32036186,0.40324335200000005,0.137406933,0.313951902,0.26570735100000004,0.173670871,0.07033766400000001,0.38072869600000003,0.22117615399999999,0.34241491700000004
Baker Laboratory,0.692657608,0.020750241000000003,0.083000881,0.357540736,0.0,0.183860158,0.316642384,0.6207287029999999,0.278001006,0.249644996,0.325447156,0.446414551,0.579425587,0.211481079,0.31562031399999996,0.158815948,0.21013241,0.470781182,0.579425587,0.045185925999999994,0.19188288899999997,0.208504038,0.26859530800000003,0.43032353799999995,0.33056326199999997,0.093400447,0.296935164,0.4749464,0.160638528,0.450435326,0.22134530100000002,0.363273666,0.137797625,0.11539707199999999,0.244186638,0.296935164,0.193333557,0.11499211,0.39438629,0.314952148,0.097670966,0.247617952,0.41473012,0.12697588699999998,0.578668024,0.110958561
White Hall,0.86703425,0.185801875,0.204554483,0.34274162,0.183860158,0.0,0.466767029,0.7887484370000001,0.45047601299999995,0.430381671,0.37228144799999996,0.45109446299999995,0.755783856,0.31049088399999997,0.256122864,0.34257150700000005,0.11769529,0.519087526,0.755783856,0.22216425899999998,0.062250667999999995,0.269534278,0.41757082,0.46020609100000004,0.507272441,0.273657563,0.47588133200000005,0.45753081,0.30254079100000003,0.438169013,0.34568586799999995,0.43532273299999996,0.321601885,0.12764099,0.358432669,0.47588133200000005,0.34652380899999996,0.110969309,0.437093799,0.447664935,0.14796077900000001,0.172918495,0.373643405,0.078257011,0.547018044,0.280990311
Weill Hall,0.420573055,0.302027522,0.26317705399999997,0.367136975,0.316642384,0.466767029,0.0,0.33042639,0.10014050599999999,0.160389594,0.253966824,0.37841345200000004,0.322212771,0.17983664800000002,0.41393601799999996,0.222994268,0.41509974299999997,0.313415518,0.322212771,0.27201707199999997,0.438714114,0.240777772,0.049321705,0.32459454600000004,0.135249583,0.23476868,0.144988748,0.43337635,0.164544722,0.40973604799999996,0.436605355,0.213634312,0.242420141,0.341951121,0.132700982,0.144988748,0.12381062400000001,0.43056076200000004,0.283388618,0.057498451,0.319300105,0.40798108200000005,0.435951385,0.435902535,0.52980942,0.20716406699999998
Riley-Robb Hall,0.102957294,0.610824027,0.584532697,0.674294508,0.6207287029999999,0.7887484370000001,0.33042639,0.0,0.34282845,0.382075337,0.556721294,0.651400677,0.096834343,0.50947105,0.737047545,0.48053775600000004,0.74524851,0.546440165,0.096834343,0.5760652470000001,0.766325877,0.5697205120000001,0.37693759600000004,0.590042005,0.2957387,0.528299281,0.332883441,0.7091862040000001,0.488423923,0.69016081,0.660456521,0.493099123,0.505164111,0.667979883,0.46057741,0.332883441,0.44296659899999996,0.734863171,0.5585204220000001,0.369820264,0.644055799,0.7378366829999999,0.737609002,0.746931757,0.786295968,0.511507293
Plant Science Building,0.41663270799999996,0.268815008,0.24971828100000001,0.427647679,0.278001006,0.45047601299999995,0.10014050599999999,0.34282845,0.0,0.062459525,0.324442086,0.45777781,0.30564257100000003,0.217869392,0.45440711899999997,0.146129862,0.42411980200000005,0.406571909,0.30564257100000003,0.233560945,0.43541194,0.276088921,0.095845674,0.408975026,0.061634534000000005,0.185496385,0.049723231,0.509629951,0.163467166,0.48475894799999997,0.353085425,0.299524844,0.169581055,0.33632605200000004,0.185499412,0.049723231,0.118199192,0.392041319,0.36634402,0.149587306,0.311183429,0.43011101799999996,0.497965314,0.40453132,0.610643003,0.170021645
Warren Hall,0.445775939,0.24471001399999998,0.240272682,0.455960016,0.249644996,0.430381671,0.160389594,0.382075337,0.062459525,0.0,0.361410945,0.497855046,0.331378218,0.24239711600000002,0.469620376,0.09864061699999999,0.42055775700000003,0.457279776,0.331378218,0.208322439,0.42383196100000003,0.29476905600000003,0.14498858,0.453127248,0.086394234,0.156967475,0.049320645,0.546964708,0.172674217,0.5215476960000001,0.294431679,0.34648773899999996,0.123300664,0.326710069,0.220798219,0.049320645,0.135632284,0.35942261299999995,0.410154452,0.204718924,0.30119777,0.434538424,0.525990713,0.376107026,0.650348799,0.153110897
Statler Hall Auditorium,0.655646735,0.304721481,0.24256963,0.11759566199999999,0.325447156,0.37228144799999996,0.253966824,0.556721294,0.324442086,0.361410945,0.0,0.137537435,0.568618721,0.130300411,0.19416607100000002,0.356358206,0.26953696899999996,0.14958123199999998,0.568618721,0.301767203,0.318015974,0.117695319,0.23047092800000002,0.10574080300000001,0.378979358,0.307915015,0.37380399999999997,0.185720634,0.210428692,0.160530099,0.533020376,0.07482416900000001,0.35934019100000003,0.259052081,0.14070175099999999,0.37380399999999997,0.22970348399999999,0.40161828899999996,0.069355482,0.198842087,0.25320408699999997,0.23168150899999998,0.183397975,0.387201013,0.289127475,0.27552573399999997
Thurston Hall,0.753493722,0.426183715,0.365840467,0.10973063300000001,0.446414551,0.45109446299999995,0.37841345200000004,0.651400677,0.45777781,0.497855046,0.137537435,0.0,0.6776003290000001,0.266627391,0.210429835,0.49309372,0.335186895,0.122383491,0.6776003290000001,0.42912131600000003,0.390190088,0.240750049,0.36230982799999994,0.061638806,0.50937045,0.441246564,0.507461554,0.057824552,0.346944104,0.041414683,0.66170316,0.166427921,0.494977615,0.359815296,0.277162588,0.507461554,0.367186023,0.504947799,0.09618356300000001,0.321058112,0.361440586,0.283364068,0.11911673099999999,0.484602009,0.152885007,0.410057173
Stocking Hall West,0.11523501,0.572323812,0.555142354,0.68512631,0.579425587,0.755783856,0.322212771,0.096834343,0.30564257100000003,0.331378218,0.568618721,0.6776003290000001,0.0,0.500178239,0.736130057,0.42898577600000004,0.726121955,0.583195541,0.0,0.536320904,0.74053797,0.5614245520000001,0.362439749,0.617762933,0.249015233,0.48603469899999996,0.282842859,0.735147523,0.46452207799999995,0.714003185,0.5908700929999999,0.513064052,0.453457358,0.6413734179999999,0.454718285,0.282842859,0.41807020200000006,0.690692256,0.5820046329999999,0.371622888,0.616418126,0.725931818,0.751989273,0.706368815,0.8204697240000001,0.474833745
Ives Hall,0.60039176,0.19116326399999997,0.131025557,0.213575588,0.211481079,0.31049088399999997,0.17983664800000002,0.50947105,0.217869392,0.24239711600000002,0.130300411,0.266627391,0.500178239,0.0,0.238418358,0.22646651,0.239877318,0.263627842,0.500178239,0.179907645,0.271265596,0.061246330999999994,0.137977582,0.234202685,0.278074317,0.178915405,0.264176053,0.31019831,0.080319785,0.28443209,0.406620265,0.152510271,0.22904266,0.18316953,0.050404198,0.264176053,0.10678626699999999,0.30684576399999997,0.19360100600000002,0.143775702,0.16640356,0.228371205,0.28360281600000004,0.300876567,0.41566295700000006,0.145761625
Willard Straight Hall,0.832197808,0.299521642,0.25528644699999997,0.10315234300000001,0.31562031399999996,0.256122864,0.41393601799999996,0.737047545,0.45440711899999997,0.469620376,0.19416607100000002,0.210429835,0.736130057,0.238418358,0.0,0.423463441,0.13917960000000001,0.308129547,0.736130057,0.318963633,0.193937544,0.178425523,0.375715976,0.239532233,0.515438118,0.35323147,0.49845029700000004,0.204699291,0.296996439,0.188395545,0.535376785,0.268826768,0.41479722700000005,0.203441265,0.28148017,0.49845029700000004,0.33786653899999997,0.33414272300000003,0.234221669,0.367742284,0.217967489,0.083626231,0.11758457,0.307114587,0.290906347,0.333374169
