room_id,capacity,building,room
Morrison Hall-342,9,Morrison Hall,342
Physical Sciences Building-401,9,Physical Sciences Building,401
Rockefeller Hall-102,8,Rockefeller Hall,102
Olin Hall-128,9,Olin Hall,128
Baker Laboratory-G02,8,Baker Laboratory,G02
White Hall-106,8,White Hall,106
Weill Hall-224,10,Weill Hall,224
Olin Hall-165,15,Olin Hall,165
Riley-Robb Hall-B15,12,Riley-Robb Hall,B15
Weill Hall-125,12,Weill Hall,125
Plant Science Building-G37,12,Plant Science Building,G37
Warren Hall-B73,11,Warren Hall,B73
Warren Hall-B75,13,Warren Hall,B75
Statler Hall Auditorium-291,15,Statler Hall Auditorium,291
Warren Hall-151,14,Warren Hall,151
Statler Hall Auditorium-198,14,Statler Hall Auditorium,198
Thurston Hall-203,11,Thurston Hall,203
Rockefeller Hall-230,15,Rockefeller Hall,230
Rockefeller Hall-132,11,Rockefeller Hall,132
Stocking Hall West-202,11,Stocking Hall West,202
Ives Hall-215,14,Ives Hall,215
Morrison Hall-B82,11,Morrison Hall,B82
Willard Straight Hall-414,15,Willard Straight Hall,414
Martha Van Rensselaer Hall-1106,15,Martha Van Rensselaer Hall,1106
Morrill Hall-106,12,Morrill Hall,106
Morrison Hall-334,12,Morrison Hall,334
Warren Hall-175,16,Warren Hall,175
Statler Hall Auditorium-396,17,Statler Hall Auditorium,396
Statler Hall Auditorium-398,16,Statler Hall Auditorium,398
Frank H T Rhodes Hall-253,17,Frank H T Rhodes Hall,253
Baker Laboratory-119,16,Baker Laboratory,119
Stocking Hall-148,19,Stocking Hall,148
Clark Hall-701,18,Clark Hall,701
McGraw Hall-165,20,McGraw Hall,165
Baker Laboratory-135,16,Baker Laboratory,135
Baker Laboratory-219,16,Baker Laboratory,219
Statler Hall Auditorium-351,18,Statler Hall Auditorium,351
Uris Hall-202,16,Uris Hall,202
Biological Sciences-A106,17,Biological Sciences,A106
Upson Hall-106,16,Upson Hall,106
Statler Hall Auditorium-341,18,Statler Hall Auditorium,341
Emerson Hall-135,20,Emerson Hall,135
Savage Hall-200,17,Savage Hall,200
Statler Hall Auditorium-196,20,Statler Hall Auditorium,196
Mann Library-102,18,Mann Library,102
Snee Hall-1120,16,Snee Hall,1120
Malott Hall-406,20,Malott Hall,406
Hollister Hall-354,16,Hollister Hall,354
Balch Hall-3330,25,Balch Hall,3330
Rockefeller Hall-203,24,Rockefeller Hall,203
Bill and Melinda Gates Hall-G01,22,Bill and Melinda Gates Hall,G01
Upson Hall-116,21,Upson Hall,116
Hollister Hall-B14,24,Hollister Hall,B14
Martha Van Rensselaer Hall Wst-G155,25,Martha Van Rensselaer Hall Wst,G155
Goldwin Smith Hall-G64,21,Goldwin Smith Hall,G64
Stocking Hall-146,25,Stocking Hall,146
King-Shaw Hall-423,24,King-Shaw Hall,423
Mann Library-103,24,Mann Library,103
Physical Sciences Building-120,23,Physical Sciences Building,120
Mann Library Addition-160,24,Mann Library Addition,160
Martha Van Rensselaer Hall Wst-G151,25,Martha Van Rensselaer Hall Wst,G151
Kennedy Hall-106,26,Kennedy Hall,106
Plant Science Building-233,30,Plant Science Building,233
Malott Hall-251,27,Malott Hall,251
Goldwin Smith Hall-G76,29,Goldwin Smith Hall,G76
Malott Hall-253,27,Malott Hall,253
Warren Hall-B25,28,Warren Hall,B25
Milstein Hall-101,33,Milstein Hall,101
Malott Hall-228,32,Malott Hall,228
Goldwin Smith Hall-132,32,Goldwin Smith Hall,132
Olin Hall-155,36,Olin Hall,155
Ives Hall-305,36,Ives Hall,305
Phillips Hall-101,40,Phillips Hall,101
Biotechnology-G10,42,Biotechnology,G10
Mann Library-107,42,Mann Library,107
Klarman Hall-KG70,41,Klarman Hall,KG70
Uris Library-2B02,45,Uris Library,2B02
Warren Hall-401,43,Warren Hall,401
Martha Van Rensselaer Hall-1101,48,Martha Van Rensselaer Hall,1101
Anabel Taylor Hall-B21,48,Anabel Taylor Hall,B21
Rockefeller Hall-201,56,Rockefeller Hall,201
Uris Hall-G01,58,Uris Hall,G01
Baker Laboratory-200X,55,Baker Laboratory,200X
Anabel Taylor Hall-230X,58,Anabel Taylor Hall,230X
Kennedy Hall-116,66,Kennedy Hall,116
Sibley Hall-235,65,Sibley Hall,235
Statler Hall Auditorium-185,76,Statler Hall Auditorium,185
Schwartz Ctr Performing Arts-111,78,Schwartz Ctr Performing Arts,111
Bailey Hall-101,130,Bailey Hall,101
Olin Hall-255,25,Olin Hall,255
